scope,analysis,predictor,bin,n,n_positive,probability,ci_lo,ci_hi,spearman_rho,kendall_tau
pooled,A,Path low-density frac,"(-0.001, 0.288]",38,28,0.7368,0.5799,0.8503,0.3605,0.2962
pooled,A,Path low-density frac,"(0.288, 0.556]",39,37,0.9487,0.8311,0.9858,0.3605,0.2962
pooled,A,Path low-density frac,"(0.556, 0.666]",35,35,1.0,0.9011,1.0,0.3605,0.2962
pooled,A,Path low-density frac,"(0.666, 1.0]",38,38,1.0,0.9082,1.0,0.3605,0.2962
pooled,A,Midpoint low-density rate,"(-0.001, 0.408]",38,28,0.7368,0.5799,0.8503,0.3392,0.2846
pooled,A,Midpoint low-density rate,"(0.408, 0.7]",41,40,0.9756,0.874,0.9957,0.3392,0.2846
pooled,A,Midpoint low-density rate,"(0.7, 0.825]",33,32,0.9697,0.8468,0.9946,0.3392,0.2846
pooled,A,Midpoint low-density rate,"(0.825, 1.0]",38,38,1.0,0.9082,1.0,0.3392,0.2846
pooled,A,Rule dissimilarity (1−sim),"(-0.001, 0.00202]",38,36,0.9474,0.8271,0.9854,0.0434,0.0358
pooled,A,Rule dissimilarity (1−sim),"(0.00202, 0.00805]",37,34,0.9189,0.787,0.972,0.0434,0.0358
pooled,A,Rule dissimilarity (1−sim),"(0.00805, 0.104]",37,31,0.8378,0.6886,0.9235,0.0434,0.0358
pooled,A,Rule dissimilarity (1−sim),"(0.104, 0.2]",38,37,0.9737,0.865,0.9953,0.0434,0.0358
MountainCar-v0,A,Path low-density frac,"(0.0133, 0.188]",13,9,0.6923,0.4237,0.8732,0.4009,0.3313
MountainCar-v0,A,Path low-density frac,"(0.188, 0.554]",12,10,0.8333,0.552,0.953,0.4009,0.3313
MountainCar-v0,A,Path low-density frac,"(0.554, 0.667]",13,13,1.0,0.7719,1.0,0.4009,0.3313
MountainCar-v0,A,Path low-density frac,"(0.667, 0.819]",12,12,1.0,0.7575,1.0,0.4009,0.3313
MountainCar-v0,A,Midpoint low-density rate,"(0.0323, 0.208]",13,9,0.6923,0.4237,0.8732,0.3036,0.256
MountainCar-v0,A,Midpoint low-density rate,"(0.208, 0.633]",14,13,0.9286,0.6853,0.9873,0.3036,0.256
MountainCar-v0,A,Midpoint low-density rate,"(0.633, 0.733]",11,10,0.9091,0.6226,0.9838,0.3036,0.256
MountainCar-v0,A,Midpoint low-density rate,"(0.733, 0.933]",12,12,1.0,0.7575,1.0,0.3036,0.256
MountainCar-v0,A,Rule dissimilarity (1−sim),"(-0.001, 0.0007]",15,13,0.8667,0.6212,0.9626,-0.0214,-0.0178
MountainCar-v0,A,Rule dissimilarity (1−sim),"(0.0007, 0.00365]",10,9,0.9,0.5958,0.9821,-0.0214,-0.0178
MountainCar-v0,A,Rule dissimilarity (1−sim),"(0.00365, 0.0129]",12,10,0.8333,0.552,0.953,-0.0214,-0.0178
MountainCar-v0,A,Rule dissimilarity (1−sim),"(0.0129, 0.2]",13,12,0.9231,0.6669,0.9863,-0.0214,-0.0178
CartPole-v1,A,Path low-density frac,"(-0.001, 0.481]",13,12,0.9231,0.6669,0.9863,0.1633,0.1348
CartPole-v1,A,Path low-density frac,"(0.481, 0.562]",13,13,1.0,0.7719,1.0,0.1633,0.1348
CartPole-v1,A,Path low-density frac,"(0.562, 0.64]",11,11,1.0,0.7412,1.0,0.1633,0.1348
CartPole-v1,A,Path low-density frac,"(0.64, 1.0]",13,13,1.0,0.7719,1.0,0.1633,0.1348
CartPole-v1,A,Midpoint low-density rate,"(-0.001, 0.667]",14,13,0.9286,0.6853,0.9873,0.1244,0.1057
CartPole-v1,A,Midpoint low-density rate,"(0.667, 0.767]",14,14,1.0,0.7847,1.0,0.1244,0.1057
CartPole-v1,A,Midpoint low-density rate,"(0.767, 0.833]",10,10,1.0,0.7225,1.0,0.1244,0.1057
CartPole-v1,A,Midpoint low-density rate,"(0.833, 1.0]",12,12,1.0,0.7575,1.0,0.1244,0.1057
CartPole-v1,A,Rule dissimilarity (1−sim),"(0.00039999999999999996, 0.0033]",14,14,1.0,0.7847,1.0,0.0793,0.0661
CartPole-v1,A,Rule dissimilarity (1−sim),"(0.0033, 0.049]",12,11,0.9167,0.6461,0.9851,0.0793,0.0661
CartPole-v1,A,Rule dissimilarity (1−sim),"(0.049, 0.0865]",11,11,1.0,0.7412,1.0,0.0793,0.0661
CartPole-v1,A,Rule dissimilarity (1−sim),"(0.0865, 0.197]",13,13,1.0,0.7719,1.0,0.0793,0.0661
LunarLander-v3,A,Path low-density frac,"(-0.001, 0.132]",13,8,0.6154,0.3552,0.8229,0.4082,0.3416
LunarLander-v3,A,Path low-density frac,"(0.132, 0.525]",12,12,1.0,0.7575,1.0,0.4082,0.3416
LunarLander-v3,A,Path low-density frac,"(0.525, 0.69]",12,12,1.0,0.7575,1.0,0.4082,0.3416
LunarLander-v3,A,Path low-density frac,"(0.69, 0.881]",13,13,1.0,0.7719,1.0,0.4082,0.3416
