Env,Method,Macro-F1,Return,GRS,Threshold-Aware GRS,BRA,TD,Rule Count
MountainCar-v0,CBS,0.744,-153.9,0.513,0.56,0.916,0.024,13.4
MountainCar-v0,FT-CBS,0.751,-158.5,0.446,0.45,0.885,0.041,13.1
MountainCar-v0,RV,0.753,-147.3,0.488,0.538,0.933,0.025,13.6
MountainCar-v0,DCM,0.553,-182.4,0.257,0.464,0.57,0.025,6.0
MountainCar-v0,DT,0.949,-134.6,0.08,0.47,0.982,0.314,85.7
MountainCar-v0,BDR,0.479,-199.7,0.054,0.87,0.954,0.003,9.9
CartPole-v1,CBS,0.795,143.4,0.189,0.254,0.776,0.071,13.0
CartPole-v1,FT-CBS,0.777,118.0,0.103,0.183,0.749,0.087,12.8
CartPole-v1,RV,0.81,282.8,0.176,0.257,0.822,0.091,13.2
CartPole-v1,DCM,0.627,73.1,0.088,0.319,0.549,0.071,5.1
CartPole-v1,DT,0.921,375.0,0.008,0.187,0.914,0.464,278.9
CartPole-v1,BDR,0.691,46.1,0.067,0.97,0.994,0.003,5.0
LunarLander-v3,CBS,0.544,-393.5,0.147,0.335,0.668,0.078,30.9
LunarLander-v3,FT-CBS,0.542,-337.1,0.092,0.283,0.625,0.091,30.0
LunarLander-v3,RV,0.56,-422.1,0.132,0.319,0.692,0.078,30.0
LunarLander-v3,DCM,0.405,-344.4,0.098,0.285,0.39,0.079,10.9
LunarLander-v3,DT,0.726,-125.3,0.004,0.202,0.78,0.238,263.0
LunarLander-v3,BDR,0.287,-359.3,0.213,0.414,0.652,0.07,13.5
