Environment,Stage,F1_mean,F1_std,worst_R_mean,n_rules_mean,surviving_groups_mean
MountainCar-v0,match_only,0.5448,0.0838,0.3354,12.4,12.4
MountainCar-v0,match_hard_support,0.5607,0.0627,0.4406,8.2,8.2
MountainCar-v0,match_aggregation,0.5147,0.0397,0.2249,12.4,12.4
MountainCar-v0,full_default,0.5293,0.0660,0.3761,7.0,7.0
MountainCar-v0,v2_soft_support,0.7253,0.0054,0.0000,18.2,18.2
CartPole-v1,match_only,0.7547,0.0679,0.6618,25.8,25.8
CartPole-v1,match_hard_support,0.7096,0.0886,0.4444,3.4,3.4
CartPole-v1,match_aggregation,0.8112,0.0298,0.7557,25.8,25.8
CartPole-v1,full_default,0.5525,0.0311,0.1226,3.2,3.2
CartPole-v1,v2_soft_support,0.7867,0.0494,0.7014,39.4,39.4
LunarLander-v3,match_only,0.4002,0.1088,0.1259,20.4,20.4
LunarLander-v3,match_hard_support,0.4498,0.1030,0.1234,14.2,14.2
LunarLander-v3,match_aggregation,0.2906,0.0193,0.0459,20.4,20.4
LunarLander-v3,full_default,0.2749,0.0194,0.0365,15.4,15.4
LunarLander-v3,v2_soft_support,0.6532,0.0222,0.3448,52.4,52.4
