Environment,Config,F1_mean,F1_std,worst_R_mean,n_rules_mean,E_CR_mean
MountainCar-v0,lB0.0_smhard_sgoff,0.0000,0.0000,0.0000,0.0,0.0
MountainCar-v0,lB0.0_smhard_sgon,0.0000,0.0000,0.0000,0.0,0.0
MountainCar-v0,lB0.0_smsoft_sgoff,0.0000,0.0000,0.0000,0.0,0.0
MountainCar-v0,lB0.0_smsoft_sgon,0.0000,0.0000,0.0000,0.0,0.0
MountainCar-v0,lB0.1_smhard_sgoff,0.0000,0.0000,0.0000,0.0,0.0
MountainCar-v0,lB0.1_smhard_sgon,0.0000,0.0000,0.0000,0.0,0.0
MountainCar-v0,lB0.1_smsoft_sgoff,0.0000,0.0000,0.0000,0.0,0.0
MountainCar-v0,lB0.1_smsoft_sgon,0.0000,0.0000,0.0000,0.0,0.0
MountainCar-v0,lB0.2_smhard_sgoff,0.0000,0.0000,0.0000,0.0,0.0
MountainCar-v0,lB0.2_smhard_sgon,0.0000,0.0000,0.0000,0.0,0.0
MountainCar-v0,lB0.2_smsoft_sgoff,0.0000,0.0000,0.0000,0.0,0.0
MountainCar-v0,lB0.2_smsoft_sgon,0.0000,0.0000,0.0000,0.0,0.0
CartPole-v1,lB0.0_smhard_sgoff,0.0000,0.0000,0.0000,0.0,0.0
CartPole-v1,lB0.0_smhard_sgon,0.0000,0.0000,0.0000,0.0,0.0
CartPole-v1,lB0.0_smsoft_sgoff,0.0000,0.0000,0.0000,0.0,0.0
CartPole-v1,lB0.0_smsoft_sgon,0.0000,0.0000,0.0000,0.0,0.0
CartPole-v1,lB0.1_smhard_sgoff,0.0000,0.0000,0.0000,0.0,0.0
CartPole-v1,lB0.1_smhard_sgon,0.0000,0.0000,0.0000,0.0,0.0
CartPole-v1,lB0.1_smsoft_sgoff,0.0000,0.0000,0.0000,0.0,0.0
CartPole-v1,lB0.1_smsoft_sgon,0.0000,0.0000,0.0000,0.0,0.0
CartPole-v1,lB0.2_smhard_sgoff,0.0000,0.0000,0.0000,0.0,0.0
CartPole-v1,lB0.2_smhard_sgon,0.0000,0.0000,0.0000,0.0,0.0
CartPole-v1,lB0.2_smsoft_sgoff,0.0000,0.0000,0.0000,0.0,0.0
CartPole-v1,lB0.2_smsoft_sgon,0.0000,0.0000,0.0000,0.0,0.0
LunarLander-v3,lB0.0_smhard_sgoff,0.0000,0.0000,0.0000,0.0,0.0
LunarLander-v3,lB0.0_smhard_sgon,0.0000,0.0000,0.0000,0.0,0.0
LunarLander-v3,lB0.0_smsoft_sgoff,0.0000,0.0000,0.0000,0.0,0.0
LunarLander-v3,lB0.0_smsoft_sgon,0.0000,0.0000,0.0000,0.0,0.0
LunarLander-v3,lB0.1_smhard_sgoff,0.0000,0.0000,0.0000,0.0,0.0
LunarLander-v3,lB0.1_smhard_sgon,0.0000,0.0000,0.0000,0.0,0.0
LunarLander-v3,lB0.1_smsoft_sgoff,0.0000,0.0000,0.0000,0.0,0.0
LunarLander-v3,lB0.1_smsoft_sgon,0.0000,0.0000,0.0000,0.0,0.0
LunarLander-v3,lB0.2_smhard_sgoff,0.0000,0.0000,0.0000,0.0,0.0
LunarLander-v3,lB0.2_smhard_sgon,0.0000,0.0000,0.0000,0.0,0.0
LunarLander-v3,lB0.2_smsoft_sgoff,0.0000,0.0000,0.0000,0.0,0.0
LunarLander-v3,lB0.2_smsoft_sgon,0.0000,0.0000,0.0000,0.0,0.0
