env,method,config,f1_mean,f1_std,E_CR_mean,E_CR_std,GRS_wj,GRS_ta,BRA,worst_action_recall_mean,worst_action_recall_std,n_rules_mean,n_rules_std,group_size_mean
MountainCar-v0,CBS,baseline,0.7822369626718554,0.025219018624629976,-151.61599999999999,4.047782602858014,0.8226008564184635,0.8447058823529412,0.9845600000000001,0.22857142857142856,0.11428571428571428,13.4,0.7999999999999999,
MountainCar-v0,B3_consensus,baseline,0.7598160121283617,0.01883509263289738,-170.10399999999998,20.033609360272546,0.8790516639067654,0.841025641025641,0.93736,0.2857142857142857,0.0,11.0,0.0,
MountainCar-v0,B3_vote,baseline,0.7922225093425063,0.004736675745065614,-147.804,1.1092628182716704,,,0.9883599999999999,0.2857142857142857,0.0,13.0,0.6324555320336759,
MountainCar-v0,soft_support,lB0.0_smhard_sgoff,0.7598160121283617,0.01883509263289738,-170.10399999999998,20.033609360272546,0.8790516639067654,0.841025641025641,0.93736,0.2857142857142857,0.0,11.0,0.0,4.818181818181818
MountainCar-v0,soft_support,lB0.0_smhard_sgon,0.7598160121283617,0.01883509263289738,-170.10399999999998,20.033609360272546,0.8790516639067654,0.841025641025641,0.93736,0.2857142857142857,0.0,11.0,0.0,4.818181818181818
MountainCar-v0,soft_support,lB0.0_smsoft_sgoff,0.7253161596505633,0.0054480949761472235,-157.712,2.4953268323007283,0.903691643877942,0.8594977640178879,0.9825200000000003,0.0,0.0,18.2,1.7204650534085253,3.6153846153846154
MountainCar-v0,soft_support,lB0.0_smsoft_sgon,0.7253161596505633,0.0054480949761472235,-157.712,2.4953268323007283,0.9034002423193124,0.8357727652464494,0.9825200000000003,0.0,0.0,18.6,1.3564659966250538,3.6451612903225805
MountainCar-v0,soft_support,lB0.1_smhard_sgoff,0.7598160121283617,0.01883509263289738,-170.10399999999998,20.033609360272546,0.8790516639067654,0.841025641025641,0.93736,0.2857142857142857,0.0,11.0,0.0,4.818181818181818
MountainCar-v0,soft_support,lB0.1_smhard_sgon,0.7598160121283617,0.01883509263289738,-170.10399999999998,20.033609360272546,0.8790516639067654,0.841025641025641,0.93736,0.2857142857142857,0.0,11.0,0.0,4.818181818181818
MountainCar-v0,soft_support,lB0.1_smsoft_sgoff,0.7253161596505633,0.0054480949761472235,-157.712,2.4953268323007283,0.903691643877942,0.8594977640178879,0.9825200000000003,0.0,0.0,18.2,1.7204650534085253,3.6153846153846154
MountainCar-v0,soft_support,lB0.1_smsoft_sgon,0.7253161596505633,0.0054480949761472235,-157.712,2.4953268323007283,0.9034002423193124,0.8357727652464494,0.9825200000000003,0.0,0.0,18.6,1.3564659966250538,3.6451612903225805
MountainCar-v0,soft_support,lB0.2_smhard_sgoff,0.7598160121283617,0.01883509263289738,-170.10399999999998,20.033609360272546,0.8790516639067654,0.841025641025641,0.93736,0.2857142857142857,0.0,11.0,0.0,4.818181818181818
MountainCar-v0,soft_support,lB0.2_smhard_sgon,0.7598160121283617,0.01883509263289738,-170.10399999999998,20.033609360272546,0.8790516639067654,0.841025641025641,0.93736,0.2857142857142857,0.0,11.0,0.0,4.818181818181818
MountainCar-v0,soft_support,lB0.2_smsoft_sgoff,0.7277573047078024,0.0055750297231753395,-158.516,3.1033504475002522,0.9002162417726097,0.8337374686716792,0.9825199999999998,0.0,0.0,17.4,1.7435595774162693,3.735632183908046
MountainCar-v0,soft_support,lB0.2_smsoft_sgon,0.7277573047078024,0.0055750297231753395,-158.516,3.1033504475002522,0.8999155589285441,0.8100574966828837,0.9825199999999998,0.0,0.0,17.8,1.32664991614216,3.730337078651685
