env,method,config,f1_mean,f1_std,E_CR_mean,E_CR_std,GRS_wj,GRS_ta,BRA,worst_action_recall_mean,n_rules_mean,group_size_mean
CartPole-v1,CBS,baseline,0.7998,0.03354829354825671,98.99199999999999,47.32304909872144,0.31564457516378897,0.39217049977885887,0.7826,0.67976,12.6,
CartPole-v1,B3_consensus,baseline,0.56808,0.11470564763776896,62.112,57.90257831910424,0.15797375527770807,0.225,0.44787999999999994,0.22679999999999997,1.4,
CartPole-v1,B3_vote,baseline,0.82212,0.04371408926193017,306.86800000000005,134.88319901307204,,,0.8543199999999999,0.7184800000000001,12.8,
CartPole-v1,soft_support,lB0.0_smhard_sgoff,0.56808,0.11470564763776896,62.112,57.90257831910424,0.15797375527770807,0.225,0.44787999999999994,0.22679999999999997,1.4,5.714285714285714
CartPole-v1,soft_support,lB0.0_smhard_sgon,0.56808,0.11470564763776896,62.19999999999999,57.82226837473605,0.1313893434084117,0.3416666666666667,0.6366799999999999,0.22679999999999997,2.2,5.090909090909091
CartPole-v1,soft_support,lB0.0_smsoft_sgoff,0.7760800000000001,0.06403094252000353,178.732,70.14360424158428,0.19712000668317095,0.487871129280924,0.72672,0.6704800000000001,38.0,1.668421052631579
CartPole-v1,soft_support,lB0.0_smsoft_sgon,0.7760800000000001,0.06403094252000353,178.732,70.14360424158428,0.19712000668317095,0.487871129280924,0.72672,0.6704800000000001,38.0,1.668421052631579
CartPole-v1,soft_support,lB0.1_smhard_sgoff,0.49984,0.00032000000000000913,15.739999999999998,13.000000000000002,0.6,0.6,0.84688,0.0764,0.4,5.5
CartPole-v1,soft_support,lB0.1_smhard_sgon,0.49984,0.00032000000000000913,15.916000000000002,12.911999999999999,0.16632674112073026,0.19999999999999998,0.7531199999999999,0.0764,2.0,3.6
CartPole-v1,soft_support,lB0.1_smsoft_sgoff,0.8044,0.05302195771564832,175.432,119.82864605761011,0.22602552765198225,0.43813203648892785,0.8078800000000002,0.69328,42.0,1.3666666666666667
CartPole-v1,soft_support,lB0.1_smsoft_sgon,0.8044,0.05302195771564832,175.432,119.82864605761011,0.22602552765198225,0.43813203648892785,0.8078800000000002,0.69328,42.0,1.3666666666666667
CartPole-v1,soft_support,lB0.2_smhard_sgoff,0.49984,0.00032000000000000913,15.739999999999998,13.000000000000002,0.6,0.6,0.84688,0.0764,0.4,5.5
CartPole-v1,soft_support,lB0.2_smhard_sgon,0.49984,0.00032000000000000913,15.916000000000002,12.911999999999999,0.22750097484838477,0.26666666666666666,0.7531199999999999,0.0764,2.0,3.7
CartPole-v1,soft_support,lB0.2_smsoft_sgoff,0.78776,0.050918978780018796,138.144,116.28013030608454,0.23920959831000843,0.40663328307759156,0.7827599999999999,0.6641600000000001,29.2,1.5205479452054795
CartPole-v1,soft_support,lB0.2_smsoft_sgon,0.78776,0.050918978780018796,138.144,116.28013030608454,0.23920959831000843,0.40663328307759156,0.7827599999999999,0.6641600000000001,29.2,1.5205479452054795
LunarLander-v3,CBS,baseline,0.661542808536779,0.009951385500872182,-486.6882204393129,68.19575882805154,0.29948875009900444,0.6438258925410627,0.8965799999999999,0.26916890080428957,30.6,
LunarLander-v3,B3_consensus,baseline,0.5176479154886753,0.014025285762573675,-444.42700148916884,164.91670469549416,0.3406958059485224,0.6216972520233388,0.7353000000000001,0.27717117556259646,17.8,
LunarLander-v3,B3_vote,baseline,0.6671857383904802,0.007603925797022134,-315.6955657041421,93.2842635574278,,,0.9065199999999999,0.28900804289544235,30.2,
LunarLander-v3,soft_support,lB0.0_smhard_sgoff,0.5510909886754616,0.050728251283198515,-512.1330698874475,43.70498480937242,0.2886461313605967,0.5970475266915757,0.75434,0.25356333667325626,22.0,5.745454545454545
LunarLander-v3,soft_support,lB0.0_smhard_sgon,0.5510909886754616,0.050728251283198515,-512.1330698874475,43.70498480937242,0.2886461313605967,0.5970475266915757,0.75434,0.25356333667325626,22.0,5.745454545454545
LunarLander-v3,soft_support,lB0.0_smsoft_sgoff,0.5604004086557078,0.025185676167358645,-346.50336044858796,209.4498205334841,0.2938087208225993,0.6288350313385894,0.7665,0.20584892716260011,35.8,4.223463687150838
LunarLander-v3,soft_support,lB0.0_smsoft_sgon,0.5604004086557078,0.025185676167358645,-346.50336044858796,209.4498205334841,0.2938087208225993,0.6288350313385894,0.7665,0.20584892716260011,35.8,4.223463687150838
LunarLander-v3,soft_support,lB0.1_smhard_sgoff,0.5929068267396367,0.11945034236282966,-487.3252690953739,105.84575249550588,0.29851267281973926,0.6138742295518906,0.73204,0.2701648393390832,20.8,5.105769230769231
LunarLander-v3,soft_support,lB0.1_smhard_sgon,0.5929068267396367,0.11945034236282966,-487.3252690953739,105.84575249550588,0.30387815581183597,0.6215161045850701,0.73204,0.2701648393390832,21.2,5.150943396226415
LunarLander-v3,soft_support,lB0.1_smsoft_sgoff,0.6430409701631286,0.024972829585555783,-326.99657087490664,228.78790003401974,0.26175243443068025,0.5649975362420337,0.80724,0.3465513039239581,50.6,2.984189723320158
