env,method,config,F1_mean,F1_std,worst_R_mean,GRS_wj,GRS_ta,BRA,TD,rules_mean,E_CR_mean
CartPole-v1,CBS,,0.8040200000000001,0.0345242465522421,0.68344,0.2270740787869457,0.362766785577617,0.8004399999999999,0.04684534551495122,13.5,113.74000000000001
CartPole-v1,default_consensus,,0.64806,0.11140291019538046,0.33136,0.08508500215255038,0.25851851851851854,0.6459866666666666,0.05152274241103138,3.9,117.572
CartPole-v1,B3_vote,,0.7977,0.024248257669366644,0.6541199999999999,,,0.8787777777777775,,12.6,147.228
CartPole-v1,tuned_merge_tuned_merge_A,"{'label': 'tuned_merge_A', 'B': 10, 'tau': 0.5, 'rho': 0.8, 'lambda1': 0.6, 'lambda2': 0.4}",0.7602,0.09141627863788812,0.60888,0.22414670434873052,0.532067716234383,0.7050133333333334,0.05223262597621396,8.5,120.024
CartPole-v1,tuned_merge_tuned_merge_B,"{'label': 'tuned_merge_B', 'B': 5, 'tau': 0.7, 'rho': 0.9, 'lambda1': 0.5, 'lambda2': 0.5}",0.5710799999999999,0.10336963577376096,0.1748,0.07286229731181407,0.1941269841269841,0.4714311111111111,0.05152274241103138,1.9,43.18
CartPole-v1,soft_support (lB0.0_smsoft_sgoff),lB0.0_smsoft_sgoff,0.7824800000000001,0.038912435030462954,0.696,0.16994665182916796,0.44668371969441867,0.7804355555555555,0.05152274241103138,37.6,152.086
CartPole-v1,v2_lB0.0_smhard_sgoff,lB0.0_smhard_sgoff,0.5634599999999998,0.10765920490139243,0.15312,0.0720131211274061,0.1874074074074074,0.4682800000000001,0.05152274241103138,1.7,46.900000000000006
CartPole-v1,v2_lB0.0_smhard_sgon,lB0.0_smhard_sgon,0.61402,0.12940888532090836,0.26688,0.08922146353177983,0.18724867724867728,0.6211333333333332,0.05152274241103138,2.9,52.266
CartPole-v1,v2_lB0.0_smsoft_sgoff,lB0.0_smsoft_sgoff,0.7824800000000001,0.038912435030462954,0.696,0.16994665182916796,0.44668371969441867,0.7804355555555555,0.05152274241103138,37.6,152.086
CartPole-v1,v2_lB0.0_smsoft_sgon,lB0.0_smsoft_sgon,0.7824800000000001,0.038912435030462954,0.696,0.16994665182916796,0.44668371969441867,0.7804355555555555,0.05152274241103138,37.6,152.086
CartPole-v1,v2_lB0.1_smhard_sgoff,lB0.1_smhard_sgoff,0.5265000000000001,0.0795,0.05908,0.2467736755626519,0.24888888888888888,0.48838666666666664,0.05152274241103138,0.9,13.492
CartPole-v1,v2_lB0.1_smhard_sgon,lB0.1_smhard_sgon,0.55904,0.11692687629454575,0.14116,0.11709982012349801,0.1348677248677249,0.5609688888888887,0.05152274241103138,2.7,28.483999999999998
CartPole-v1,v2_lB0.1_smsoft_sgoff,lB0.1_smsoft_sgoff,0.78948,0.018441084566803538,0.68272,0.19505220798185008,0.43172438451097117,0.7683555555555555,0.05152274241103138,38.4,126.678
CartPole-v1,v2_lB0.1_smsoft_sgon,lB0.1_smsoft_sgon,0.78948,0.018441084566803538,0.68272,0.19505220798185008,0.43172438451097117,0.7683555555555555,0.05152274241103138,38.4,126.678
CartPole-v1,v2_lB0.2_smhard_sgoff,lB0.2_smhard_sgoff,0.5265000000000001,0.0795,0.05908,0.2467736755626519,0.24888888888888888,0.48838666666666664,0.05152274241103138,0.9,13.492
CartPole-v1,v2_lB0.2_smhard_sgon,lB0.2_smhard_sgon,0.55914,0.11688168547723807,0.14179999999999998,0.11657839442596557,0.13931216931216933,0.5615333333333333,0.05152274241103138,2.7,27.473999999999997
CartPole-v1,v2_lB0.2_smsoft_sgoff,lB0.2_smsoft_sgoff,0.78234,0.03578592460730893,0.65144,0.21434329914543782,0.3830449622981459,0.7659688888888889,0.05152274241103138,30.1,129.168
CartPole-v1,v2_lB0.2_smsoft_sgon,lB0.2_smsoft_sgon,0.78234,0.03578592460730893,0.65144,0.21434329914543782,0.3830449622981459,0.7659688888888889,0.05152274241103138,30.1,129.168
